MipStartID,MipStartFile,SourceEvalID,UpperBound
10,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-2/3_neos-5093327-huahum_seed-2_20260503_015852/iterated_local_search/run_5_worker_1/mip_starts/mip_start_eval_15_config_15821199580331609943.mst,273,6554
9,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-2/3_neos-5093327-huahum_seed-2_20260503_015852/iterated_local_search/run_4_worker_0/mip_starts/mip_start_eval_4_config_17796630764447413151.mst,179,6690
8,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-2/3_neos-5093327-huahum_seed-2_20260503_015852/iterated_local_search/run_3_worker_0/mip_starts/mip_start_eval_12_config_11604617166967683745.mst,124,6690
7,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-2/3_neos-5093327-huahum_seed-2_20260503_015852/iterated_local_search/run_3_worker_0/mip_starts/mip_start_eval_9_config_5187971096603757312.mst,121,6690
6,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-2/3_neos-5093327-huahum_seed-2_20260503_015852/iterated_local_search/run_3_worker_0/mip_starts/mip_start_eval_7_config_4744619978297457432.mst,119,6690
5,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-2/3_neos-5093327-huahum_seed-2_20260503_015852/iterated_local_search/run_3_worker_0/mip_starts/mip_start_eval_2_config_2896902483543906854.mst,114,6690
4,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-2/3_neos-5093327-huahum_seed-2_20260503_015852/iterated_local_search/run_3_worker_0/mip_starts/mip_start_eval_1_config_5854184445765904341.mst,113,6690
3,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-2/3_neos-5093327-huahum_seed-2_20260503_015852/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_17_config_14429118027560361184.mst,37,6762
2,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-2/3_neos-5093327-huahum_seed-2_20260503_015852/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_3_config_10346973009034893901.mst,3,6826
1,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-2/3_neos-5093327-huahum_seed-2_20260503_015852/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,6826
