MipStartID,MipStartFile,SourceEvalID,UpperBound
11,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/4proc/seed-10/3_neos-5093327-huahum_seed-10_20260426_045243/iterated_local_search/run_4_worker_1/mip_starts/mip_start_eval_6_config_16940324545727094014.mst,233,6506
10,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/4proc/seed-10/3_neos-5093327-huahum_seed-10_20260426_045243/iterated_local_search/run_4_worker_1/mip_starts/mip_start_eval_1_config_17527920848042708493.mst,228,6676
9,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/4proc/seed-10/3_neos-5093327-huahum_seed-10_20260426_045243/iterated_local_search/run_4_worker_0/mip_starts/mip_start_eval_18_config_14469124561768900805.mst,224,6720
8,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/4proc/seed-10/3_neos-5093327-huahum_seed-10_20260426_045243/iterated_local_search/run_4_worker_0/mip_starts/mip_start_eval_16_config_6402722116528166853.mst,222,6758
7,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/4proc/seed-10/3_neos-5093327-huahum_seed-10_20260426_045243/iterated_local_search/run_4_worker_0/mip_starts/mip_start_eval_6_config_15616735897739986454.mst,212,6758
6,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/4proc/seed-10/3_neos-5093327-huahum_seed-10_20260426_045243/iterated_local_search/run_3_worker_0/mip_starts/mip_start_eval_1_config_5598665627511992488.mst,159,6758
5,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/4proc/seed-10/3_neos-5093327-huahum_seed-10_20260426_045243/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_11_config_11071528030943446025.mst,11,6826
4,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/4proc/seed-10/3_neos-5093327-huahum_seed-10_20260426_045243/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_6_config_14106513260077899571.mst,6,6826
3,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/4proc/seed-10/3_neos-5093327-huahum_seed-10_20260426_045243/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_4_config_7654593077812284781.mst,4,6826
2,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/4proc/seed-10/3_neos-5093327-huahum_seed-10_20260426_045243/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_2_config_14494239334946615932.mst,2,6826
1,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/4proc/seed-10/3_neos-5093327-huahum_seed-10_20260426_045243/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,6826
