instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
csched008.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/1_csched008_seed-3_20260504_024540,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/1_csched008_seed-3_20260504_024540/run.log
fastxgemm-n2r6s0t2.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/2_fastxgemm-n2r6s0t2_seed-3_20260504_025648,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/2_fastxgemm-n2r6s0t2_seed-3_20260504_025648/run.log
glass4.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/3_glass4_seed-3_20260504_030653,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/3_glass4_seed-3_20260504_030653/run.log
lotsize.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/4_lotsize_seed-3_20260504_030816,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/4_lotsize_seed-3_20260504_030816/run.log
mas74.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/5_mas74_seed-3_20260504_031950,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/5_mas74_seed-3_20260504_031950/run.log
neos-4413714-turia.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/6_neos-4413714-turia_seed-3_20260504_033335,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/6_neos-4413714-turia_seed-3_20260504_033335/run.log
qap10.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/7_qap10_seed-3_20260504_034847,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/7_qap10_seed-3_20260504_034847/run.log
rocI-4-11.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/8_rocI-4-11_seed-3_20260504_034858,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/8_rocI-4-11_seed-3_20260504_034858/run.log
supportcase18.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/9_supportcase18_seed-3_20260504_035151,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/9_supportcase18_seed-3_20260504_035151/run.log
supportcase33.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/10_supportcase33_seed-3_20260504_035937,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/easy/8proc/seed-3/10_supportcase33_seed-3_20260504_035937/run.log
