MipStartID,MipStartFile,SourceEvalID,UpperBound
14,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-1/32proc/seed-7/9_neos-3024952-loue_seed-7_20260427_114242/iterated_local_search/run_6_worker_1/mip_starts/mip_start_eval_1_config_41913090200643963.mst,2669,27048
1,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-1/32proc/seed-7/9_neos-3024952-loue_seed-7_20260427_114242/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,29320
2,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-1/32proc/seed-7/9_neos-3024952-loue_seed-7_20260427_114242/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_2_config_5988662020493846908.mst,2,28834
3,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-1/32proc/seed-7/9_neos-3024952-loue_seed-7_20260427_114242/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_12_config_16450644818478286277.mst,12,28540
4,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-1/32proc/seed-7/9_neos-3024952-loue_seed-7_20260427_114242/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_20_config_4063701962894822506.mst,20,28480
5,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-1/32proc/seed-7/9_neos-3024952-loue_seed-7_20260427_114242/iterated_local_search/run_1_worker_2/mip_starts/mip_start_eval_10_config_4838141368138113684.mst,50,28370
6,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-1/32proc/seed-7/9_neos-3024952-loue_seed-7_20260427_114242/iterated_local_search/run_1_worker_7/mip_starts/mip_start_eval_9_config_6933783559816484659.mst,149,28098
7,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-1/32proc/seed-7/9_neos-3024952-loue_seed-7_20260427_114242/iterated_local_search/run_1_worker_8/mip_starts/mip_start_eval_9_config_15743151810603382182.mst,169,27956
8,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-1/32proc/seed-7/9_neos-3024952-loue_seed-7_20260427_114242/iterated_local_search/run_2_worker_0/mip_starts/mip_start_eval_2_config_3960407728435053246.mst,674,27344
9,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-1/32proc/seed-7/9_neos-3024952-loue_seed-7_20260427_114242/iterated_local_search/run_3_worker_1/mip_starts/mip_start_eval_1_config_12726071870536152663.mst,1003,27224
10,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-1/32proc/seed-7/9_neos-3024952-loue_seed-7_20260427_114242/iterated_local_search/run_3_worker_1/mip_starts/mip_start_eval_4_config_5603454017918147880.mst,1006,27204
11,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-1/32proc/seed-7/9_neos-3024952-loue_seed-7_20260427_114242/iterated_local_search/run_4_worker_1/mip_starts/mip_start_eval_1_config_12726071870536152663.mst,1365,27144
12,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-1/32proc/seed-7/9_neos-3024952-loue_seed-7_20260427_114242/iterated_local_search/run_4_worker_1/mip_starts/mip_start_eval_8_config_41913090200643963.mst,1372,27071
13,/scratch/yorig/mpils-results-grid-ticks-10000-divide4/medium-1/32proc/seed-7/9_neos-3024952-loue_seed-7_20260427_114242/iterated_local_search/run_5_worker_1/mip_starts/mip_start_eval_4_config_5208510454876565292.mst,2064,27051
