MipStartID,MipStartFile,SourceEvalID,UpperBound
12,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/4proc/seed-1/6_neos-4413714-turia_seed-1_20260503_011714/iterated_local_search/run_7_worker_1/mip_starts/mip_start_eval_1_config_18348231379130036084.mst,678,45.3766
11,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/4proc/seed-1/6_neos-4413714-turia_seed-1_20260503_011714/iterated_local_search/run_6_worker_1/mip_starts/mip_start_eval_18_config_16806169030219225234.mst,578,45.4339
10,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/4proc/seed-1/6_neos-4413714-turia_seed-1_20260503_011714/iterated_local_search/run_6_worker_1/mip_starts/mip_start_eval_1_config_18348231379130036084.mst,561,45.5107
9,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/4proc/seed-1/6_neos-4413714-turia_seed-1_20260503_011714/iterated_local_search/run_5_worker_1/mip_starts/mip_start_eval_28_config_18348231379130036084.mst,452,45.5211
8,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/4proc/seed-1/6_neos-4413714-turia_seed-1_20260503_011714/iterated_local_search/run_5_worker_1/mip_starts/mip_start_eval_2_config_2410353280331040838.mst,426,52.2563
7,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/4proc/seed-1/6_neos-4413714-turia_seed-1_20260503_011714/iterated_local_search/run_5_worker_1/mip_starts/mip_start_eval_1_config_16670924164994352366.mst,425,52.4164
6,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/4proc/seed-1/6_neos-4413714-turia_seed-1_20260503_011714/iterated_local_search/run_5_worker_0/mip_starts/mip_start_eval_30_config_5060715006408283543.mst,424,52.5104
5,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/4proc/seed-1/6_neos-4413714-turia_seed-1_20260503_011714/iterated_local_search/run_4_worker_0/mip_starts/mip_start_eval_16_config_4402703028755283079.mst,290,53.296
4,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/4proc/seed-1/6_neos-4413714-turia_seed-1_20260503_011714/iterated_local_search/run_3_worker_1/mip_starts/mip_start_eval_1_config_8103704849596541294.mst,198,53.296
3,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/4proc/seed-1/6_neos-4413714-turia_seed-1_20260503_011714/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_13_config_9986838766824156861.mst,33,55.4301
2,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/4proc/seed-1/6_neos-4413714-turia_seed-1_20260503_011714/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_1_config_4742023368992659407.mst,21,499.635
1,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/4proc/seed-1/6_neos-4413714-turia_seed-1_20260503_011714/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,499.635
