MipStartID,MipStartFile,SourceEvalID,UpperBound
10,/scratch/yorig/mpils-results-grid-seconds-5/easy/8proc/seed-5/6_neos-4413714-turia_seed-5_20260503_000407/iterated_local_search/run_4_worker_1/mip_starts/mip_start_eval_24_config_6588296443258178545.mst,521,45.3702
9,/scratch/yorig/mpils-results-grid-seconds-5/easy/8proc/seed-5/6_neos-4413714-turia_seed-5_20260503_000407/iterated_local_search/run_4_worker_1/mip_starts/mip_start_eval_1_config_6624971524169681341.mst,498,45.5632
8,/scratch/yorig/mpils-results-grid-seconds-5/easy/8proc/seed-5/6_neos-4413714-turia_seed-5_20260503_000407/iterated_local_search/run_4_worker_0/mip_starts/mip_start_eval_18_config_5929699447046897994.mst,488,46.8519
7,/scratch/yorig/mpils-results-grid-seconds-5/easy/8proc/seed-5/6_neos-4413714-turia_seed-5_20260503_000407/iterated_local_search/run_4_worker_0/mip_starts/mip_start_eval_1_config_6438778537409562819.mst,471,47.0872
6,/scratch/yorig/mpils-results-grid-seconds-5/easy/8proc/seed-5/6_neos-4413714-turia_seed-5_20260503_000407/iterated_local_search/run_3_worker_7/mip_starts/mip_start_eval_1_config_7673997034848451832.mst,438,53.296
5,/scratch/yorig/mpils-results-grid-seconds-5/easy/8proc/seed-5/6_neos-4413714-turia_seed-5_20260503_000407/iterated_local_search/run_3_worker_1/mip_starts/mip_start_eval_1_config_10652012289581698243.mst,288,54.7328
4,/scratch/yorig/mpils-results-grid-seconds-5/easy/8proc/seed-5/6_neos-4413714-turia_seed-5_20260503_000407/iterated_local_search/run_3_worker_0/mip_starts/mip_start_eval_2_config_14892646094569212113.mst,264,54.7328
3,/scratch/yorig/mpils-results-grid-seconds-5/easy/8proc/seed-5/6_neos-4413714-turia_seed-5_20260503_000407/iterated_local_search/run_1_worker_3/mip_starts/mip_start_eval_1_config_145401686263944303.mst,61,55.4301
2,/scratch/yorig/mpils-results-grid-seconds-5/easy/8proc/seed-5/6_neos-4413714-turia_seed-5_20260503_000407/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_12_config_16957666276679199244.mst,12,55.4301
1,/scratch/yorig/mpils-results-grid-seconds-5/easy/8proc/seed-5/6_neos-4413714-turia_seed-5_20260503_000407/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,499.635
